"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4286799";"";"None";"390.48";"0";"3.83";"9";"O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4273249";"Inhibition of recombinant human MAO-B expressed in baculovirus infected BTI insect cells using p-tyramine as substrate pretreated for 15 mins followed by substrate addition by horse-radish peroxidase/amplex red-based fluorescence method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270563";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4106496";"";"None";"350.51";"0";"3.72";"BDBM254599";"Cc1cccc(CNc2ccc([C@H]3C[C@@H]3NC3CCC(N)CC3)cn2)c1";"IC50";"'='";"3620.0";"nM";"5.44";"";"443214";"UO_0000065";"15.52";"0.29";"1.72";"8.64";"0";"CHEMBL3887028";"Fluorescence-Based (Inhibitor)-Screening Assay: In order to monitor MAO enzymatic activities and/or their inhibition rate by inhibitor(s) of interest, a fluorescence-based (inhibitor)-screening assay was set up. 3-(2-Aminophenyl)-3-oxopropanamine (kynuramine dihydrobromide, Sigma Aldrich), a non fluorescent compound was chosen as a substrate. Kynuramine is a non-specific substrate for both MAO-A and MAO-B activities. While undergoing oxidative deamination by MAO activities, kynuramine is converted into 4-hydroxyquinoline (4-HQ), a resulting fluorescent product.The monoamine oxidase activity was estimated by measuring the conversion of kynuramine into 4-hydroxyquinoline. Assays were conducted in 96-well black plates with clear bottom (Corning) in a final volume of 100 uL. The assay buffer was 100 mM HEPES, pH 7.5. Each experiment was performed in duplicate within the same experiment.Briefly, a fixed amount of MAO (0.25 ug for MAO-A and 0.5 ug for MAO-B) was incubated on ice for 15 minutes in the reaction buffer, in the absence and/or in the presence of at least eight 3-fold serial dilutions each. Clorgyline and Deprenyl (Sigma Aldrich) was used as a control for specific inhibition of MAO-A and MAO-B respectively. After leaving the enzyme(s) interacting with the inhibitor, KM of kynuramine was added to each reaction for MAO-B and MAO-A assay respectively, and the reaction was left for 1 hour at 37° C. in the dark. The oxidative deamination of the substrate was stopped by adding 50 uL of NaOH 2N. The conversion of kynuramine to 4-hydroxyquinoline, was monitored by fluorescence (excitation at 320 nm, emission at 360 nm) using a microplate reader (Infinite 200, Tecan). Arbitrary units were used to measure levels of fluorescence produced in the absence and/or in the presence of inhibitor. The maximum of oxidative deamination activity was obtained by measuring the amount of 4-hydroxyquinoline formed from kynuramine deamination in the absence of inhibitor and corrected for background fluorescence in the absence of MAO enzymes. The IC50 values of each inhibitor were calculated with GraphPad Prism Software.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886143";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL4284475";"";"None";"494.70";"1";"6.56";"7f";"CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccc(F)cc3)CC2)cc(C(C)(C)C)c1O";"IC50";"'='";"11100.0";"nM";"4.96";"";"";"UO_0000065";"10.02";"0.19";"-1.61";"9.42";"0";"CHEMBL4274279";"Inhibition of human MAO-B using p-tyramine as substrate incubated for 15 mins followed by substrate addition measured for 20 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270597";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4454141";"";"None";"385.42";"0";"3.43";"AVB14";"C#CCOc1ccc(-c2cc(-c3ccc(OCC#C)c(OC)c3)nc(N)n2)cc1";"IC50";"'='";"20030.0";"nM";"4.70";"";"";"UO_0000065";"12.19";"0.22";"1.27";"5.91";"0";"CHEMBL4353634";"Inhibition of human recombinant microsomal MAO-B expressed in baculovirus infected BTI-TN-5B1-4 cells assessed as reduction in production of H202 using p-tyramine as substrate incubated for 30 mins followed by substrate addition by horse radish peroxidase/Amplex red reagent based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4350993";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3833782";""
"CHEMBL4290401";"";"None";"419.53";"0";"3.57";"26";"COc1cccc2c(=O)cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)[nH]c12";"IC50";"'='";"71600.0";"nM";"4.14";"";"";"UO_0000065";"9.88";"0.18";"0.58";"5.57";"0";"CHEMBL4273249";"Inhibition of recombinant human MAO-B expressed in baculovirus infected BTI insect cells using p-tyramine as substrate pretreated for 15 mins followed by substrate addition by horse-radish peroxidase/amplex red-based fluorescence method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270563";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4303182";"";"None";"460.80";"1";"5.65";"EN460";"O=C(O)c1cc(N2N=C(C(F)(F)F)/C(=C/c3ccc(-c4ccccc4)o3)C2=O)ccc1Cl";"IC50";"'='";"30590.0";"nM";"4.51";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4321226";"Inhibition of MAOB (unknown origin) using kynuramine as substrate";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4316617";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL2418205";"";"None";"297.33";"0";"4.02";"BDBM251804";"Fc1cccc(-c2nc3ccc(N4CCCCC4)nc3o2)c1";"IC50";"'='";"270.0";"nM";"6.57";"";"438849";"UO_0000065";"22.09";"0.41";"2.55";"15.58";"0";"CHEMBL3889174";"Inhibition Assay: A stock solution was prepared using a human MAO-B enzyme (purchased from Aldrich) and a Amplex Red monoamine oxidase assay kit according to a preparation manual. The kit includes a 5x reaction buffer, an Amplex red reagent (1 mg), HRP, DMSO, H2O2, p-tyramine (substrate of MAO-A, B), benzylamine (substrate of MAO-B), clorgiline (inhibitor of MAO-A), and pargyline (inhibitor of MAO-B). Among these reagents in the kit, benzylamine was used as a substrate for MAO-B, and pargyline was used as an MAO-B inhibitor. A solution as overall substrates was prepared as follows. 200 ul of a solution of 1 mg of Amplex red sufficiently dissolved in 200 ul of DMSO, 100 ul of a mixed solution of HRP and 1 ml of a 1x buffer, 200 ul of a solution of benzylamine dissolved in 1.2 ml of dH2O were added to 9.5 ml of a 1x buffer to reach a total volume of 10 mL, which is sufficient for 100 wells. 0.5 ul of a mixture of MAO-B inhibitor pargyline and 1 ml of dH2O was put into each well. First, the activity of MAO-B was determined using 10 uM of the synthesized compound.Â  96 wells were injected with positive and negative types, and the wile type. The positive type included only substrate and hydrogen peroxide, and the negative type included only substrate. For the wild type, corresponding wells were injected with the enzyme, substrate, and MAO-B inhibitor, but with no synthesized compound. Afterward, 2 ul of the synthesized compound (1 mM) was added into each well, and the human MAO-B enzyme was put only into the 1st row of wells. 0.5 ug of the human MAO-B was put into each well along with 100 ul of a 1x buffer. The human MAO-B enzyme was put into the 2nd row of the wells along with 0.5 ul of a pargyline, the MAO-B inhibitor. To reduce an experimental error for accuracy, the test was repeated three times for each compound. After 30 minutes, 100 ul of the substrate solution was added into each well in a darkroom. The test was performed in the darkroom due to light sensitivity of the Amplex reagent. Finally, a total volume of the reaction solution per well reached 200 ul. After about 2 to 3 hours, chromophoric degrees of the samples were measured. A variation in data values for the 1st and 2nd rows of the wells indicates the pure reaction activity of the MAO-B enzyme with the substrate. Using the samples with the synthesized compound the remaining activity of MAO-B after inhibited by the synthesized compound may be determined. This is because the activities of the other enzymes excluding the MAO-B enzyme may be excluded through this method. Compounds with high inhibitory activity at a concentration of 10 uM were screened from among the synthesized compounds at a compound concentration of 10 uM. Afterward, concentration-dependent IC50 values of these compounds may be obtained through an activity assay at different concentrations of 0.001 uM, 0.01 uM, 0.1 uM, 1 uM, and 10 uM.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886975";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL4441284";"";"None";"234.29";"0";"2.75";"9nR";"CCCc1cc(C)c2c(c1O)C(=O)O[C@H](C)C2";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4393413";"Inhibition of human recombinant MAOB using kynuramine as substrate incubated for 10 mins by UPLC-ESI-MS/MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392854";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL4525616";"";"None";"305.33";"0";"1.27";"10cR";"Cc1cc(C(=O)N2CCOCC2)c(O)c2c1C[C@@H](C)OC2=O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4393413";"Inhibition of human recombinant MAOB using kynuramine as substrate incubated for 10 mins by UPLC-ESI-MS/MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392854";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL4177405";"";"None";"366.47";"0";"5.00";"3n";"Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCCC4)cc3)n2)cc1";"IC50";"'='";"425858.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4145982";"Inhibition of human MAO-B using tyramine hydrochloride as substrate after 30 mins by Amplex Red reagent based horseradish peroxidase enzyme-coupled fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4145445";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4174280";"";"None";"302.81";"0";"2.52";"(+/-)-16a";"COc1ncccc1CN[C@@H]1[C@H]2Cc3ccccc3[C@H]21.Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4135162";"Inhibition of human recombinant MAO-B expressed in baculovirus infected insect cells by luminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130492";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL2332166";"";"None";"284.29";"0";"3.87";"6d";"O=C(/C=C(O)/C=C/c1ccccc1)c1cc(F)ccc1O";"IC50";"'='";"50.44";"nM";"7.30";"";"";"UO_0000065";"25.67";"0.47";"3.43";"12.68";"0";"CHEMBL2342563";"Inhibition of recombinant human MAO-B expressed in baculovirus infected BT1-TN-5B1-4 cells assessed as inhibition of production of hydrogen peroxide from p-tyramine after 15 mins by Amplex Red assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331176";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";""
"CHEMBL2376891";"";"None";"281.27";"0";"3.40";"7";"O=C(Nc1cc2ccccc2oc1=O)Oc1ccccc1";"IC50";"'='";"24300.0";"nM";"4.61";"";"";"UO_0000065";"16.41";"0.30";"1.21";"6.73";"0";"CHEMBL2378113";"Inhibition of human recombinant microsomal MAO-B expressed in baculovirus infected BTI-TN-5B1-4 cells using p-tyramine as substrate assessed as production of H2O2 incubated for 15 mins followed by substrate addition measured over 15 mins by fluorimetric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2375285";"1";"Scientific Literature";"Eur J Med Chem";"2013";"CHEMBL3833782";""
"CHEMBL1254017";"";"None";"310.43";"0";"4.80";"36";"N#Cc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1";"IC50";"'='";"45.71";"nM";"7.34";"";"";"UO_0000065";"23.64";"0.46";"2.54";"12.02";"0";"CHEMBL1251644";"Inhibition of human recombinant MAOB expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250430";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3833782";""
"CHEMBL332223";"";"None";"216.24";"0";"1.76";"1a";"CCOC(=O)C1=Cc2ccccc2CC1=O";"IC50";"'='";"5011.87";"nM";"5.30";"";"";"UO_0000065";"24.51";"0.45";"3.54";"12.22";"0";"CHEMBL729888";"Inhibition of human monoamine oxidase (MAO B)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137934";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";""
"CHEMBL1835326";"";"None";"252.27";"0";"3.47";"20";"Cc1ccc2oc(=O)c(-c3cccc(O)c3)cc2c1";"IC50";"'='";"650.03";"nM";"6.19";"";"";"UO_0000065";"24.53";"0.44";"2.72";"12.27";"0";"CHEMBL1838814";"Inhibition of human recombinant MAO-B expressed in insect BT1-TN-5B1-4 cells assessed as production of hydrogen peroxide from p-tyramine up to 15 mins by amplex red-based fluorometric assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833810";"1";"Scientific Literature";"J Med Chem";"2011";"None";""
"CHEMBL1823540";"";"None";"335.19";"0";"4.23";"4p";"CC(=O)N1N=C(c2ccc(Cl)cc2)OC1c1ccc(Cl)cc1";"IC50";"'='";"115.31";"nM";"6.94";"";"";"UO_0000065";"20.70";"0.43";"2.71";"16.56";"0";"CHEMBL1825409";"Inhibition of human recombinant MAO-B expressed in BTI-TN-5B1-4 insect cells using p-tyramine substrate by Amplex Red MAO assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821564";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3833782";""
"CHEMBL1253613";"";"None";"275.35";"0";"4.29";"3";"Fc1ccc(-c2csc(NN=C3CCCC3)n2)cc1";"IC50";"'='";"40.74";"nM";"7.39";"";"";"UO_0000065";"26.84";"0.53";"3.10";"19.82";"0";"CHEMBL1251644";"Inhibition of human recombinant MAOB expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250430";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3833782";""
"CHEMBL1255020";"";"None";"299.44";"1";"5.10";"24";"Cc1ccc(-c2csc(NN=C3CCC(C)CC3)n2)cc1";"IC50";"'='";"5477.0";"nM";"5.26";"";"";"UO_0000065";"17.57";"0.34";"0.16";"14.11";"0";"CHEMBL1251644";"Inhibition of human recombinant MAOB expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250430";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3833782";""
"CHEMBL1813522";"";"None";"289.29";"0";"3.52";"5f";"O=C1NC(=O)c2cc(Oc3ccc4ccccc4c3)ccc21";"IC50";"'='";"33.0";"nM";"7.48";"";"";"UO_0000065";"25.86";"0.46";"3.96";"13.50";"0";"CHEMBL1816570";"Inhibition of human recombinant MAOB expressed in insect cells using kynuramine substrate by fluorescence spectroscopy";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2039";"Monoamine oxidase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1811758";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";""
